"id","timestamp","body","recipient_id","user_id","sid"
68,"2021-06-14 18:14:18.811806+00","Beginne Szenario 1",12,16,1
69,"2021-06-14 18:14:21.801971+00","huhu😊",21,14,0
70,"2021-06-14 18:14:28.207293+00","hallo 11 :) 😊",18,27,0
71,"2021-06-14 18:14:35.921986+00","Hey 😊",14,21,0
72,"2021-06-14 18:14:52.338264+00","Szenario 1 beendet",12,16,1
73,"2021-06-14 18:15:21.84843+00","Hallo Chatpartner😊",24,15,0
74,"2021-06-14 18:15:33.301632+00","Hallo 😊",12,11,0
75,"2021-06-14 18:17:07.645692+00","Hallo😊",11,12,0
76,"2021-06-14 18:18:43.46863+00","können wir starten ? 👀",24,15,0
77,"2021-06-14 18:21:08.685934+00","👀sollen wir dann mal loslegen ???",21,14,0
78,"2021-06-14 18:21:21.2824+00","Scen #1...👀",21,14,0
79,"2021-06-14 18:21:27.538428+00","Gerne👀",15,24,0
80,"2021-06-14 18:21:39.474768+00","Beginne Szenario 15",24,15,15
81,"2021-06-14 18:21:49.193658+00","👀Hallo bist Du da?",17,28,0
82,"2021-06-14 18:21:54.856197+00","Klappt bei Dir schon alles?😊",19,22,0
83,"2021-06-14 18:22:01.331911+00","Hallo. Ja bin da😊",28,17,0
84,"2021-06-14 18:22:10.629767+00","ok 😊",14,21,0
85,"2021-06-14 18:22:13.627209+00","sollen wir dann starten? 😊",11,12,0
86,"2021-06-14 18:22:16.215816+00","hallo 5😊",27,18,0
87,"2021-06-14 18:22:20.759176+00","ja! los gehts oder?😊",22,19,0
88,"2021-06-14 18:22:29.301792+00","hey na alles klar 😊🥰 ? wie gehts dir 👀",24,15,15
89,"2021-06-14 18:22:32.211374+00","Beginne Szenario 1",21,14,1
90,"2021-06-14 18:22:33.673236+00","gerne😊",12,11,0
91,"2021-06-14 18:22:35.6605+00","Beginne Szenario 1",22,19,1
92,"2021-06-14 18:22:48.333187+00","jetzt 😊",18,27,0
93,"2021-06-14 18:22:49.830583+00","Beginne Szenario 1",12,11,1
94,"2021-06-14 18:22:52.586404+00","nadann legen wir mal los 😊",27,18,0
95,"2021-06-14 18:22:54.111372+00","Na dann kann's losgehen.😊",17,28,0
96,"2021-06-14 18:22:55.81552+00","hey liebe Freundin... steh vor dem Kino und friere 👀",21,14,1
